train/clip_range,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_coef,train/learning_rate,time/iterations,train/clip_fraction,train/approx_kl,train/loss,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/n_updates,train/std,train/explained_variance,eval/mean_ep_length,eval/mean_reward
0.2,1398,172032,122,0.016559360000000002,0.0003,84,0.09150390625,0.008362591,-0.22161465883255005,-0.010776716914551798,-11.54276262819767,0.008621036563272354,830,1.666724443435669,0.9163941368460655,,
0.2,1402,174080,124,0.0165184,0.0003,85,0.097412109375,0.010317997,-0.22184231877326965,-0.012899540300713852,-11.571389856934548,0.007360588201117934,840,1.6697022914886475,0.7239325046539307,,
0.2,1405,176128,125,0.01647744,0.0003,86,0.092529296875,0.009651132,-0.18549470603466034,-0.012570928686182014,-11.586555349826813,0.007106262654997408,850,1.6765096187591553,0.7926321625709534,,
0.2,1408,178176,126,0.01643648,0.0003,87,0.1056640625,0.009064722,-0.18888813257217407,-0.013586723644402809,-11.594366466999054,0.00588110261815018,860,1.6746705770492554,0.9101343005895615,,
0.2,1410,180224,127,0.01639552,0.0003,88,0.09423828125,0.0098028695,-0.18589399755001068,-0.011394941507023758,-11.604694563150407,0.058023254669387826,870,1.6827034950256348,0.608869880437851,,
0.2,1413,182272,128,0.01635456,0.0003,89,0.068798828125,0.007887235,-0.17339934408664703,-0.008338532317429781,-11.613961178064347,0.006949544841336319,880,1.6797211170196533,0.6660268008708954,,
0.2,1416,184320,130,0.0163136,0.0003,90,0.122265625,0.010318451,-0.21481062471866608,-0.01524905878759455,-11.621392276883125,0.007783158197707962,890,1.687497615814209,0.7362862229347229,,
0.2,1420,186368,131,0.01627264,0.0003,91,0.101513671875,0.010483422,-0.21220050752162933,-0.012890112574677915,-11.645388475060463,0.007293727732030675,900,1.6935396194458008,0.8733700960874557,,
0.2,1423,188416,132,0.016231680000000002,0.0003,92,0.083251953125,0.007869136,-0.18108995258808136,-0.012514098356768954,-11.648975130915641,0.009322701791825238,910,1.6907470226287842,0.8559274077415466,,
0.2,1426,190464,133,0.01619072,0.0003,93,0.0697265625,0.0075168456,-0.18714237213134766,-0.01202442033099942,-11.68647438287735,0.006047968654456781,920,1.7119901180267334,0.6952802240848541,,
0.2,1429,192512,134,0.01614976,0.0003,94,0.10546875,0.011009433,-0.2292126715183258,-0.015264823078177869,-11.775948467850686,0.00537618125526933,930,1.7396821975708008,0.511094480752945,,
0.2,1431,194560,135,0.0161088,0.0003,95,0.096484375,0.009669723,-0.16790272295475006,-0.010707180105964654,-11.81468175649643,0.04352113818167709,940,1.7386016845703125,0.7747398912906647,,
0.2,1433,196608,137,0.01606784,0.0003,96,0.097119140625,0.009349726,-0.18769225478172302,-0.017644894316617865,-11.844531175494193,0.016122310246282724,950,1.7551050186157227,0.809380978345871,,
0.2,1436,198656,138,0.01602688,0.0003,97,0.110107421875,0.009841627,-0.24279071390628815,-0.01624866552883759,-11.881304028630257,0.009202421983354725,960,1.7637709379196167,0.5418147146701813,,
0.2,,200000,,0.01600016,0.0003,,0.084619140625,0.009608313,-0.21187718212604523,-0.012710813924786634,-11.904838520288468,0.0054616846886347045,970,1.7663488388061523,0.8017893880605698,1000.0,-42.239192692004146
0.2,1383,200704,145,0.01598592,0.0003,98,,,,,,,,,,,
0.2,1386,202752,146,0.01594496,0.0003,99,0.092919921875,0.010195345,-0.18330220878124237,-0.01073792239476461,-11.920048210024834,0.007369130523875356,980,1.770891547203064,0.9268954247236252,,
0.2,1389,204800,147,0.015904,0.0003,100,0.096484375,0.009551507,-0.19283656775951385,-0.01192099973850418,-11.916868084669114,0.08553206885990221,990,1.7667381763458252,0.4849615693092346,,
0.2,1391,206848,148,0.015863040000000002,0.0003,101,0.10224609375,0.010316607,-0.19720734655857086,-0.015375756056164392,-11.94861867427826,0.012947056503617205,1000,1.788879156112671,0.7044710516929626,,
0.2,1394,208896,149,0.015822080000000002,0.0003,102,0.127880859375,0.011183429,-0.2190382033586502,-0.01611105724296067,-11.980863296985627,0.007864188207895495,1010,1.7890985012054443,0.7994754612445831,,
0.2,1397,210944,150,0.01578112,0.0003,103,0.1001953125,0.009663599,-0.2285570353269577,-0.011783991270931438,-11.991782194375991,0.0419624957095948,1020,1.7978813648223877,0.7263775169849396,,
0.2,1399,212992,152,0.01574016,0.0003,104,0.11923828125,0.010069123,-0.20305278897285461,-0.016905494160891977,-12.028228494524956,0.009956170618534089,1030,1.8088258504867554,0.7298368215560913,,
0.2,1402,215040,153,0.0156992,0.0003,105,0.098828125,0.008955955,-0.22162076830863953,-0.015361084665346424,-12.012254285812379,0.007926372330985032,1040,1.7936452627182007,0.5425029397010803,,
0.2,1404,217088,154,0.01565824,0.0003,106,0.0791015625,0.008177623,-0.20457768440246582,-0.010881522158160805,-12.028276896476745,0.005180296238540905,1050,1.8146116733551025,0.8388990014791489,,
0.2,1406,219136,155,0.01561728,0.0003,107,0.146337890625,0.011675819,-0.1859624981880188,-0.01794967493333388,-12.07608496248722,0.012476416495337617,1060,1.8242772817611694,0.8771435096859932,,
0.2,1408,221184,157,0.015576320000000001,0.0003,108,0.053271484375,0.006748405,-0.1954958140850067,-0.006991000735433772,-12.104057815670966,0.27608642940758726,1070,1.8328635692596436,0.1237494945526123,,
0.2,1410,223232,158,0.01553536,0.0003,109,0.115478515625,0.010687206,-0.20041215419769287,-0.01620499802811537,-12.150250938534736,0.010470761806936934,1080,1.8487056493759155,0.6577840149402618,,
0.2,1412,225280,159,0.0154944,0.0003,110,0.114208984375,0.010147372,-0.22815757989883423,-0.01472401877399534,-12.196253678202629,0.006799177714128746,1090,1.859644889831543,0.6575936675071716,,
0.2,1414,227328,160,0.01545344,0.0003,111,0.0810546875,0.0078006387,-0.2012578696012497,-0.013633991239476017,-12.211057463288308,0.009163950737274718,1100,1.8611615896224976,0.6710226833820343,,
0.2,1416,229376,161,0.01541248,0.0003,112,0.11044921875,0.010770978,-0.20128262042999268,-0.013499427211354487,-12.24094045162201,0.007640726835234091,1110,1.8757123947143555,0.7764914333820343,,
0.2,1419,231424,163,0.01537152,0.0003,113,0.11943359375,0.010403661,-0.19963139295578003,-0.016153804850182495,-12.281092685461044,0.008224008906108794,1120,1.8863439559936523,0.8095451891422272,,
0.2,1421,233472,164,0.01533056,0.0003,114,0.10048828125,0.010894466,-0.21566921472549438,-0.011677759967278689,-12.294452738761901,0.006515309310634621,1130,1.8825416564941406,0.8776520192623138,,
0.2,1423,235520,165,0.0152896,0.0003,115,0.104443359375,0.010360686,-0.20697163045406342,-0.014172646269435063,-12.28256942331791,0.005156619392073481,1140,1.8799760341644287,0.9169234856963158,,
0.2,1425,237568,166,0.01524864,0.0003,116,0.098681640625,0.009973903,-0.22958365082740784,-0.016744959019706584,-12.30077902674675,0.006030321027355967,1150,1.8927786350250244,0.6686946451663971,,
0.2,1428,239616,167,0.015207680000000001,0.0003,117,0.092138671875,0.008921278,-0.22123408317565918,-0.01368981579435058,-12.34258301258087,0.0069983816174499225,1160,1.9080581665039062,0.8187221139669418,,
0.2,,240000,,0.01520016,0.0003,,0.102685546875,0.00941754,-0.211685910820961,-0.01582263394957408,-12.383724585175514,0.004945966113882605,1170,1.920445203781128,0.9346529245376587,1000.0,-40.42967900959847
0.2,1383,241664,174,0.015166720000000002,0.0003,118,,,,,,,,,,,
0.2,1385,243712,175,0.01512576,0.0003,119,0.08466796875,0.008956792,-0.19901800155639648,-0.012269974219088908,-12.42514734864235,0.006022342627693434,1180,1.9360765218734741,0.9601401947438717,,
0.2,1387,245760,177,0.015084799999999999,0.0003,120,0.082421875,0.008937647,-0.230711430311203,-0.012146022403612733,-12.46847448348999,0.005801928011351265,1190,1.9489374160766602,0.7303000688552856,,
0.2,1390,247808,178,0.01504384,0.0003,121,0.107177734375,0.010177629,-0.1807270646095276,-0.016175949113676324,-12.498505109548569,0.005189137191337068,1200,1.9561737775802612,0.8101133406162262,,
0.2,1392,249856,179,0.01500288,0.0003,122,0.084765625,0.009495974,-0.2080976665019989,-0.01102601051388774,-12.546623450517654,0.0044135715921584055,1210,1.9760265350341797,0.9044741690158844,,
0.2,1394,251904,180,0.01496192,0.0003,123,0.09169921875,0.009978626,-0.2065519392490387,-0.012547053591697476,-12.58498125076294,0.12683152141689788,1220,1.9865573644638062,-0.34504854679107666,,
0.2,1396,253952,181,0.01492096,0.0003,124,0.096533203125,0.008897753,-0.2057696282863617,-0.012912987367599271,-12.624210581183434,0.007869436993496492,1230,1.999666452407837,0.7086549401283264,,
0.2,1399,256000,182,0.01488,0.0003,125,0.082080078125,0.008983927,-0.195359468460083,-0.01311649415292777,-12.651219710707664,0.00593139793490991,1240,2.0055577754974365,0.9170255959033966,,
0.2,1401,258048,184,0.014839040000000001,0.0003,126,0.093310546875,0.009322436,-0.23885369300842285,-0.012678017973667011,-12.69793135523796,0.004540397862729151,1250,2.0279698371887207,0.9517525024712086,,
0.2,1403,260096,185,0.014798080000000002,0.0003,127,0.064794921875,0.006078395,-0.1695885956287384,-0.0072956426534801725,-12.735687151551247,0.3283860720373923,1260,2.036917209625244,0.5932553708553314,,
0.2,1405,262144,186,0.01475712,0.0003,128,0.05556640625,0.0069710244,-0.16839724779129028,-0.010704053117660806,-12.757049134373665,0.44439892465015873,1270,2.0424838066101074,-0.5958647727966309,,
0.2,1407,264192,187,0.01471616,0.0003,129,0.100927734375,0.009459363,-0.2069706916809082,-0.013734770947485231,-12.758000764250756,0.008227987302961991,1280,2.0393218994140625,0.797758549451828,,
0.2,1409,266240,188,0.014675200000000001,0.0003,130,0.101904296875,0.010580771,-0.20429310202598572,-0.01387823350087274,-12.785650911927224,0.007717133827100042,1290,2.0539796352386475,0.942962970584631,,
0.2,1411,268288,190,0.01463424,0.0003,131,0.104052734375,0.010196583,-0.18040351569652557,-0.014098842986277305,-12.859712663292886,0.017964453452441374,1300,2.0888471603393555,0.8344077914953232,,
0.2,1413,270336,191,0.01459328,0.0003,132,0.101806640625,0.011004247,-0.20953433215618134,-0.015773973680916244,-12.914387732744217,0.008537604022421874,1310,2.0987958908081055,0.5936866104602814,,
0.2,1415,272384,192,0.01455232,0.0003,133,0.08349609375,0.009420488,-0.18768954277038574,-0.013128209886781405,-12.96080772280693,0.0063307924552646,1320,2.118593215942383,0.837142214179039,,
